A lead sync source is already enabled for this Facebook Lead Form!,Eine Lead-Sync-Quelle ist bereits für dieses Facebook Lead Formular aktiviert!,
API Key is required,API-Schlüssel ist erforderlich,
Access Token,Zugriffstoken,
Access key,Zugriffsschlüssel,
Access key for Exchangerate Host. Required for fetching exchange rates.,Zugriffsschlüssel für Exchangerate Host. Erforderlich zum Abrufen von Wechselkursen.,
Access token is required,Zugriffstoken ist erforderlich,
Account name is required,Kontoname ist erforderlich,
Actions,Aktionen,
Activity,Aktivität,
Actual,Tatsächlich,
Add,Hinzufügen,
Add Email...,E-Mail eingeben...,
Add First Name...,Vorname eingeben...,
Add Industry...,Branche auswählen...,
Add Job Title...,Stellenbezeichnung eingeben...,
Add Last Name...,Nachname eingeben...,
Add Lead or Deal,Lead oder Deal hinzufügen,
Add Mobile No...,Mobilnummer eingeben...,
Add Organization...,Firma eingeben...,
Add Salutation...,Anrede eingeben...,
Add Source...,Quelle auswählen...,
Add Territory...,Gebiet auswählen...,
Add Website...,Website eingeben...,
Add a name for your source,Geben Sie einen Namen für Ihre Quelle ein,
Add condition group,Bedingungsgruppe hinzufügen,
Add description,Beschreibung eingeben,
Add description...,Beschreibung eingeben...,
Add existing system users to this CRM. Assign them a role to grant access with their current credentials.,"Fügen Sie bestehende Systembenutzer zu diesem CRM hinzu. Weisen Sie ihnen eine Rolle zu, um Zugriff mit ihren aktuellen Anmeldedaten zu gewähren.",
"Add, edit, and manage email templates for various CRM communications","E-Mail-Vorlagen für verschiedene CRM-Kommunikation hinzufügen, bearbeiten und verwalten",
"Add, edit, and manage sources for automatic lead syncing to your CRM","Quellen für automatische Lead-Synchronisierung hinzufügen, bearbeiten und verwalten",
Admin,Administrator,
All day,Ganztägig,
Alle,Alle,
Amount after discount,Betrag nach Rabatt,
An error occurred,Ein Fehler ist aufgetreten,
An error occurred while updating the document,Beim Aktualisieren des Dokuments ist ein Fehler aufgetreten,
Angebote,Angebote,
Any failed lead syncs will show up here,Fehlgeschlagene Lead-Synchronisierungen werden hier angezeigt,
Apply,Anwenden,
Apply on,Anwenden auf,
Are you sure you want to delete {0} linked item(s)?,"Sind Sie sicher, dass Sie {0} verknüpfte(s) Element(e) löschen möchten?",
